rank,title,director,release_year,genre,rating,language,country,runtime,url
73,Ratatouille,Brad Bird,2007,"['Family', 'Fantasy', 'Animation', 'Comedy']",4.22 out of 5,English,['USA'],111 mins,https://letterboxd.com/film/ratatouille/
74,The Florida Project,Sean Baker,2017,['Drama'],4.10 out of 5,English,['USA'],112 mins,https://letterboxd.com/film/the-florida-project/
75,Amour,Michael Haneke,2012,"['Drama', 'Romance']",4.23 out of 5,French,"['France', 'Germany', 'Austria']",127 mins,https://letterboxd.com/film/amour/
76,"O Brother, Where Art Thou?",Joel Coen,2000,"['Comedy', 'Adventure', 'Crime']",3.95 out of 5,English,"['France', 'UK', 'USA']",107 mins,https://letterboxd.com/film/o-brother-where-art-thou/
77,Everything Everywhere All at Once,Daniel Scheinert,2022,"['Science Fiction', 'Adventure', 'Comedy', 'Action']",4.27 out of 5,English,['USA'],140 mins,https://letterboxd.com/film/everything-everywhere-all-at-once/
78,Aftersun,Charlotte Wells,2022,['Drama'],4.22 out of 5,English,"['UK', 'USA']",101 mins,https://letterboxd.com/film/aftersun/
79,The Tree of Life,Terrence Malick,2011,"['Fantasy', 'Drama']",3.85 out of 5,English,['USA'],139 mins,https://letterboxd.com/film/the-tree-of-life-2011/
80,Volver,Pedro Almodóvar,2006,"['Drama', 'Romance', 'Comedy']",4.08 out of 5,Spanish,['Spain'],121 mins,https://letterboxd.com/film/volver/
81,Black Swan,Darren Aronofsky,2010,"['Drama', 'Thriller', 'Horror']",4.16 out of 5,English,['USA'],109 mins,https://letterboxd.com/film/black-swan/
82,The Act of Killing,Joshua Oppenheimer,2012,['Documentary'],4.40 out of 5,Indonesian,"['Denmark', 'Norway', 'UK', 'Indonesia']",117 mins,https://letterboxd.com/film/the-act-of-killing/
83,Inside Llewyn Davis,Joel Coen,2013,"['Music', 'Drama']",4.03 out of 5,English,"['France', 'UK']",104 mins,https://letterboxd.com/film/inside-llewyn-davis/
84,Melancholia,Lars von Trier,2011,"['Drama', 'Science Fiction']",3.84 out of 5,English,"['Denmark', 'France', 'Germany', 'Sweden']",130 mins,https://letterboxd.com/film/melancholia/
85,Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,['Comedy'],3.49 out of 5,English,['USA'],95 mins,https://letterboxd.com/film/anchorman-the-legend-of-ron-burgundy/
86,Past Lives,Celine Song,2023,"['Drama', 'Romance']",4.17 out of 5,English,"['South Korea', 'USA']",106 mins,https://letterboxd.com/film/past-lives/
87,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,"['Adventure', 'Action', 'Fantasy']",4.38 out of 5,English,"['New Zealand', 'USA']",179 mins,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
88,The Gleaners and I,Agnès Varda,2000,['Documentary'],4.25 out of 5,French,['France'],82 mins,https://letterboxd.com/film/the-gleaners-and-i/
89,Interstellar,Christopher Nolan,2014,"['Science Fiction', 'Drama', 'Adventure']",4.42 out of 5,English,"['UK', 'USA']",169 mins,https://letterboxd.com/film/interstellar/
90,Frances Ha,Noah Baumbach,2012,"['Comedy', 'Drama']",4.04 out of 5,English,"['Brazil', 'USA']",86 mins,https://letterboxd.com/film/frances-ha/
91,Fish Tank,Andrea Arnold,2009,['Drama'],3.84 out of 5,English,"['Netherlands', 'UK']",123 mins,https://letterboxd.com/film/fish-tank/
92,Gladiator,Ridley Scott,2000,"['Action', 'Adventure', 'Drama']",4.15 out of 5,English,"['UK', 'USA']",155 mins,https://letterboxd.com/film/gladiator-2000/
93,Michael Clayton,Tony Gilroy,2007,"['Crime', 'Drama', 'Thriller']",3.84 out of 5,English,['USA'],119 mins,https://letterboxd.com/film/michael-clayton/
94,Minority Report,Steven Spielberg,2002,"['Thriller', 'Science Fiction', 'Action']",3.77 out of 5,English,['USA'],145 mins,https://letterboxd.com/film/minority-report/
95,The Worst Person in the World,Joachim Trier,2021,"['Drama', 'Romance', 'Comedy']",4.09 out of 5,Norwegian,"['Norway', 'Sweden', 'Denmark', 'France']",128 mins,https://letterboxd.com/film/the-worst-person-in-the-world/
96,Black Panther,Ryan Coogler,2018,"['Adventure', 'Science Fiction', 'Action']",3.68 out of 5,English,['USA'],135 mins,https://letterboxd.com/film/black-panther/
97,Gravity,Alfonso Cuarón,2013,"['Thriller', 'Science Fiction', 'Drama']",3.51 out of 5,English,"['UK', 'USA']",91 mins,https://letterboxd.com/film/gravity-2013/
98,Grizzly Man,Werner Herzog,2005,['Documentary'],4.13 out of 5,English,['USA'],103 mins,https://letterboxd.com/film/grizzly-man/
99,Memories of Murder,Bong Joon Ho,2003,"['Thriller', 'Crime', 'Drama']",4.42 out of 5,Korean,['South Korea'],131 mins,https://letterboxd.com/film/memories-of-murder/
100,Superbad,Greg Mottola,2007,['Comedy'],3.89 out of 5,English,['USA'],113 mins,https://letterboxd.com/film/superbad/
